condition_id,type,model,taste,seed_label,attempt_index,distinct_commands,nesting_depth,code_length,parsimony_score,spatial_entropy,fill_ratio,symmetry_score,bounding_box_coverage,latency_ms,xm_gemini_3_flash_preview_aesthetic,xm_gemini_3_flash_preview_novelty,xm_gpt_5_4_mini_aesthetic,xm_gpt_5_4_mini_novelty
t1__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,0,8,2,231,7.6,0,0,1,0,16630,1,1,1,1
t1__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,1,11,2,237,7,0,0,1,0,15338,1,1,1,1
t1__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,2,10,2,236,7.2,0,0,1,0,17678,1,1,1,1
t1__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,3,10,1,208,7.8,0,0,1,0,16824,1,1,1,1
t1__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,4,7,1,250,8.6,0,0,1,0,17021,1,1,1,1
t1__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,5,9,1,248,8.2,0,0,1,0,16540,1,1,1,1
t1__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,6,8,1,181,8.2,0,0,1,0,16960,1,1,1,1
t1__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,7,8,1,219,7.8,0,0,1,0,17291,1,1,1,1
t1__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,8,9,2,183,7.6,0,0,1,0,17066,1,1,1,1
t1__gemini_3_flash_preview,from_scratch,gemini-3-flash-preview,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,9,8,1,203,8.4,0,0,1,0,16529,1,1,1,1
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,0,11,2,958,0,0.7169,0.1086,0.9491,0.5332,4980,,,7,8
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,1,10,1,1112,0,1.1414,0.351,0.9537,0.7744,4229,,,6,7
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,2,14,2,1420,0,0.6474,0.0175,0.9926,0.0229,6769,2,1,2,2
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,3,13,2,1124,0,1.3145,0.1786,0.9042,0.6709,5007,,,7,8
t1__gpt_5_4_mini,from_scratch,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",,4,10,2,763,0,0.4194,0.0361,0.9734,0.3731,3300,,,7,8
