condition_id,type,model,taste,seed_label,attempt_index,distinct_commands,nesting_depth,code_length,parsimony_score,spatial_entropy,fill_ratio,symmetry_score,bounding_box_coverage,latency_ms,xm_gemini_2_5_flash_preview_09_2025_aesthetic,xm_gemini_2_5_flash_preview_09_2025_novelty
t3__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,,0,17,2,1101,0,0,0,1,0.761,13185,1,1
t3__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,,1,11,1,204,7,0,0,1,0,13913,1,1
t3__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,,2,10,1,221,8,0,0,1,0,16954,1,1
t3__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,,3,18,2,1566,0,1.8525,0.4255,0.8142,0.6819,10414,,
t3__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,,4,10,1,211,7.8,0,0,1,0,16652,1,1
t3__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,,5,15,2,521,4.2,1.6763,0.6164,0.9999,0.7744,12180,3,1
t3__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,,6,14,2,1052,0.8000000000000007,0.8759,0.1241,0.9438,0.6454,11412,,
t3__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,,7,8,1,217,8.4,0,0,1,0,17303,1,1
t3__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,,8,15,2,645,4.2,0.1106,0.0053,0.9946,0.7618,11784,2,2
t3__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,,9,5,1,196,8.6,0,0,1,0,14259,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Spiral,0,10,2,223,7.6,0,0,1,0.774,14088,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Spiral,1,13,1,198,7,0,0,1,0,14533,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Spiral,2,10,1,228,7.6,0,0,1,0,16727,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Spiral,3,13,2,230,7,0,0,1,0.482,16741,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Spiral,4,8,1,200,7,1.5439,0.09,0.9015,0.7694,16746,3,2
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Spiral,5,14,1,251,7.2,0,0,1,0,16176,1,1
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Spiral,6,13,2,188,6.4,1.0008,0.0579,0.9918,0.2146,15610,,
t3__gemini_2_5_flash_preview_09_2025,single_edit,gemini-2.5-flash-preview-09-2025,Intricate asymmetric patterns with heavy use of color,Spiral,7,12,1,185,7.6,0,0,1,0,15297,1,1
