condition_id,type,model,taste,seed_label,attempt_index,distinct_commands,nesting_depth,code_length,parsimony_score,spatial_entropy,fill_ratio,symmetry_score,bounding_box_coverage,latency_ms,xm_gemini_2_5_flash_preview_09_2025_aesthetic,xm_gemini_2_5_flash_preview_09_2025_novelty,xm_gpt_5_4_nano_aesthetic,xm_gpt_5_4_nano_novelty
t3__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,,0,11,1,252,7.8,0,0,1,0,33643,,,,
t3__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,,1,10,3,253,6.6,0,0,1,0,17096,,,,
t3__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,,2,11,1,230,7.2,0,0,1,0,16455,,,,
t3__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,,3,11,1,217,6.4,0,0,1,0,18688,,,,
t3__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,,4,17,1,1458,0,1.1983,0.3142,0.9127,0.7655,18161,,,,
t3__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,,5,18,2,1147,0,1.9658,0.2549,0.7524,0.7157,13098,,,,
t3__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,,6,10,1,234,7.2,0,0,1,0,18064,,,,
t3__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,,7,15,2,585,3.2,1.1765,0.0463,0.9859,0.6697,13684,,,,
t3__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,,8,16,1,529,4.4,1.9027,0.3368,0.8951,0.6767,13163,,,,
t3__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,Depth and layered transparency,,9,9,1,251,7,0,0,1,0,18044,,,,
t4__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,,0,10,1,287,7.8,0,0,1,0,18841,,,,
t4__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,,1,8,1,316,7.4,0,0,1,0,19134,,,,
t4__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,,2,14,2,491,3.2,2.1967,0.4479,0.8489,0.7743,15253,,,,
t4__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,,3,7,1,236,7.8,0,0,1,0,19063,,,,
t4__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,,4,6,1,218,8,0,0,1,0,17696,,,,
t4__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,,5,10,1,205,8,0,0,1,0,17784,,,,
t4__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,,6,8,1,246,7.2,0,0,1,0,17830,,,,
t4__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,,7,14,1,269,6.8,0,0,1,0,18802,,,,
t4__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,,8,8,1,228,7.4,0,0,1,0,16627,,,,
t4__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,A sense of spatial depth created by overlapping translucent layers receding into the background,,9,13,2,1013,3.4000000000000004,0.1161,0.0001,1,0.7744,11951,,,,
t5__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",,0,9,1,213,6.6,0,0,1,0,14729,,,,
t5__gemini_2_5_flash_preview_09_2025,from_scratch,gemini-2.5-flash-preview-09-2025,"Create an illusion of three-dimensional depth using overlapping geometric forms that appear to recede into space. Use colour gradients from warm foreground tones to cool background tones, with varying line weights to reinforce the sense of near and far. The overall effect should feel like looking through stacked panes of coloured glass.",,1,7,1,227,7.8,0,0,1,0,18104,,,,
