condition_id,type,model,taste,seed_label,attempt_index,distinct_commands,nesting_depth,code_length,parsimony_score,spatial_entropy,fill_ratio,symmetry_score,bounding_box_coverage,latency_ms,xm_gemini_2_5_flash_aesthetic,xm_gemini_2_5_flash_novelty,xm_gpt_5_4_mini_aesthetic,xm_gpt_5_4_mini_novelty
t3__gpt_5_4_nano,from_scratch,gpt-5.4-nano,The dense interlocking pattern of a woven textile,,0,16,4,4114,0,0,0,1,0.72,13877,1,2,1,1
t3__gpt_5_4_nano,from_scratch,gpt-5.4-nano,The dense interlocking pattern of a woven textile,,1,13,3,2066,0,0.7244,0.0139,0.9866,0.491,6217,4,7,4,5
t3__gpt_5_4_nano,from_scratch,gpt-5.4-nano,The dense interlocking pattern of a woven textile,,2,15,4,2823,0,0.9781,0.0551,0.9648,0.7166,8910,5,3,5,4
t3__gpt_5_4_nano,from_scratch,gpt-5.4-nano,The dense interlocking pattern of a woven textile,,3,13,2,2093,0,1.4382,0.0546,0.9765,0.7744,7256,5,7,4,6
t3__gpt_5_4_nano,from_scratch,gpt-5.4-nano,The dense interlocking pattern of a woven textile,,4,16,2,1266,0,0.9216,0.014,0.9806,0.6674,5501,7,4,5,4
t3__gpt_5_4_nano,from_scratch,gpt-5.4-nano,The dense interlocking pattern of a woven textile,,5,14,3,3262,0,0.7047,0.0189,0.9838,0.4826,8938,5,7,5,6
t3__gpt_5_4_nano,from_scratch,gpt-5.4-nano,The dense interlocking pattern of a woven textile,,6,14,4,4956,0,0.1027,0.0025,0.9978,0.3331,15313,2,3,2,3
t3__gpt_5_4_nano,from_scratch,gpt-5.4-nano,The dense interlocking pattern of a woven textile,,7,15,2,1499,0,0.5196,0.0094,0.9928,0.6168,4881,7,4,6,5
t3__gpt_5_4_nano,from_scratch,gpt-5.4-nano,The dense interlocking pattern of a woven textile,,8,14,2,1271,0,1.0396,0.0837,0.914,0.7347,5490,8,6,7,8
t3__gpt_5_4_nano,from_scratch,gpt-5.4-nano,The dense interlocking pattern of a woven textile,,9,14,3,1653,0,0.4646,0.0138,0.9866,0.3884,5188,6,5,6,5
t4__gpt_5_4_nano,from_scratch,gpt-5.4-nano,"A dense, interlocking pattern resembling fabric weave, with threads of different colours crossing over and under each other in a regular rhythm",,0,15,4,3213,0,0.7464,0.0235,0.9986,0.52,11462,3,2,2,3
t4__gpt_5_4_nano,from_scratch,gpt-5.4-nano,"A dense, interlocking pattern resembling fabric weave, with threads of different colours crossing over and under each other in a regular rhythm",,1,19,3,6567,0,0,0,1,0,13021,1,1,1,1
t4__gpt_5_4_nano,from_scratch,gpt-5.4-nano,"A dense, interlocking pattern resembling fabric weave, with threads of different colours crossing over and under each other in a regular rhythm",,2,12,5,4293,0,0.6309,0.0088,0.9894,0.2623,10317,4,2,2,2
t4__gpt_5_4_nano,from_scratch,gpt-5.4-nano,"A dense, interlocking pattern resembling fabric weave, with threads of different colours crossing over and under each other in a regular rhythm",,3,18,5,6484,0,1.462,0.0672,0.9565,0.6804,12688,2,3,5,7
t4__gpt_5_4_nano,from_scratch,gpt-5.4-nano,"A dense, interlocking pattern resembling fabric weave, with threads of different colours crossing over and under each other in a regular rhythm",,4,15,2,4108,0,0.1975,0.0004,0.9993,0.3872,9725,3,2,2,2
t4__gpt_5_4_nano,from_scratch,gpt-5.4-nano,"A dense, interlocking pattern resembling fabric weave, with threads of different colours crossing over and under each other in a regular rhythm",,5,18,4,8142,0,0.1161,0,1,0,17136,5,9,1,1
t4__gpt_5_4_nano,from_scratch,gpt-5.4-nano,"A dense, interlocking pattern resembling fabric weave, with threads of different colours crossing over and under each other in a regular rhythm",,6,16,3,4256,0,0.0369,0.0045,0.9998,0.7744,9336,3,8,3,2
t4__gpt_5_4_nano,from_scratch,gpt-5.4-nano,"A dense, interlocking pattern resembling fabric weave, with threads of different colours crossing over and under each other in a regular rhythm",,7,16,6,5441,0,1.4196,0.0217,0.9895,0.7227,13590,3,2,4,3
t4__gpt_5_4_nano,from_scratch,gpt-5.4-nano,"A dense, interlocking pattern resembling fabric weave, with threads of different colours crossing over and under each other in a regular rhythm",,8,19,4,2335,0,0.9268,0.0129,0.9954,0.7744,6049,5,1,4,2
t4__gpt_5_4_nano,from_scratch,gpt-5.4-nano,"A dense, interlocking pattern resembling fabric weave, with threads of different colours crossing over and under each other in a regular rhythm",,9,18,4,5823,0,0,0,1,0,16918,3,1,1,1
t3__gpt_5_4_nano,single_edit,gpt-5.4-nano,The dense interlocking pattern of a woven textile,Line,0,9,2,963,0,0.5737,0.0051,0.9968,0.1621,4131,4,2,2,3
t3__gpt_5_4_nano,single_edit,gpt-5.4-nano,The dense interlocking pattern of a woven textile,Line,1,11,2,627,0,0.1027,0.0056,0.9978,0.0343,3000,6,7,3,2
t3__gpt_5_4_nano,single_edit,gpt-5.4-nano,The dense interlocking pattern of a woven textile,Line,2,11,3,932,0,1.034,0.0138,0.9952,0.4513,4360,6,3,6,4
t3__gpt_5_4_nano,single_edit,gpt-5.4-nano,The dense interlocking pattern of a woven textile,Line,3,10,2,1218,0,0.7665,0.0125,0.9828,0.0852,4365,4,2,4,4
t3__gpt_5_4_nano,single_edit,gpt-5.4-nano,The dense interlocking pattern of a woven textile,Line,4,10,2,413,2.8,0.1396,0.0124,0.994,0.6571,2399,7,8,7,6
t3__gpt_5_4_nano,single_edit,gpt-5.4-nano,The dense interlocking pattern of a woven textile,Line,5,11,2,916,0,1.3667,0.0687,0.9462,0.6735,5172,6,4,6,7
t3__gpt_5_4_nano,single_edit,gpt-5.4-nano,The dense interlocking pattern of a woven textile,Line,6,11,2,280,3.8,1.1258,0.0208,0.992,0.7744,5118,6,3,5,3
