condition_id,type,model,taste,seed_label,attempt_index,distinct_commands,nesting_depth,code_length,parsimony_score,spatial_entropy,fill_ratio,symmetry_score,bounding_box_coverage,latency_ms,xm_gemini_2_5_flash_aesthetic,xm_gemini_2_5_flash_novelty
t1__gpt_5_4,from_scratch,gpt-5.4,Intricate asymmetric patterns with heavy use of color,,0,13,1,2467,0,0.8979,0.0795,0.9282,0.6644,20171,7,8
t1__gpt_5_4,from_scratch,gpt-5.4,Intricate asymmetric patterns with heavy use of color,,1,14,1,1985,0,1.5942,0.1472,0.8981,0.6972,14675,6,6
t1__gpt_5_4,from_scratch,gpt-5.4,Intricate asymmetric patterns with heavy use of color,,2,14,1,1955,0,0.9161,0.0898,0.9333,0.7016,14674,6,7
t1__gpt_5_4,from_scratch,gpt-5.4,Intricate asymmetric patterns with heavy use of color,,3,14,1,1982,0,1.9993,0.2282,0.8433,0.7403,15660,3,6
t1__gpt_5_4,from_scratch,gpt-5.4,Intricate asymmetric patterns with heavy use of color,,4,14,2,2072,0,1.0976,0.0927,0.9199,0.2872,14636,8,8
t1__gpt_5_4,from_scratch,gpt-5.4,Intricate asymmetric patterns with heavy use of color,,5,13,2,2187,0,0.6894,0.0817,0.9605,0.7269,14908,7,7
t1__gpt_5_4,from_scratch,gpt-5.4,Intricate asymmetric patterns with heavy use of color,,6,14,2,2121,0,0.8009,0.0627,0.9728,0.6228,17759,8,7
t1__gpt_5_4,from_scratch,gpt-5.4,Intricate asymmetric patterns with heavy use of color,,7,14,2,2504,0,1.2142,0.0926,0.903,0.7198,19385,4,6
t1__gpt_5_4,from_scratch,gpt-5.4,Intricate asymmetric patterns with heavy use of color,,8,12,2,1981,0,2.1218,0.2723,0.7996,0.6739,13524,7,8
t1__gpt_5_4,from_scratch,gpt-5.4,Intricate asymmetric patterns with heavy use of color,,9,13,2,2201,0,1.1645,0.1099,0.9091,0.4529,17325,4,4
t1__gpt_5_4,single_edit,gpt-5.4,Intricate asymmetric patterns with heavy use of color,Line,0,13,2,1229,0,0.9844,0.0611,0.9493,0.6499,8876,3,6
t1__gpt_5_4,single_edit,gpt-5.4,Intricate asymmetric patterns with heavy use of color,Line,1,13,1,1382,0,0.4802,0.0408,0.9791,0.5007,10989,6,7
t1__gpt_5_4,single_edit,gpt-5.4,Intricate asymmetric patterns with heavy use of color,Line,2,13,1,1536,0,1.1173,0.0724,0.9441,0.5663,13096,4,6
t1__gpt_5_4,single_edit,gpt-5.4,Intricate asymmetric patterns with heavy use of color,Line,3,13,2,1910,0,0.3949,0.0219,0.9857,0.3734,14564,7,7
t1__gpt_5_4,single_edit,gpt-5.4,Intricate asymmetric patterns with heavy use of color,Line,4,12,2,1426,0,0.7675,0.0684,0.9541,0.4196,12593,4,6
t1__gpt_5_4,single_edit,gpt-5.4,Intricate asymmetric patterns with heavy use of color,Line,5,13,2,1439,0,2.0725,0.2808,0.846,0.7241,12689,4,6
t1__gpt_5_4,single_edit,gpt-5.4,Intricate asymmetric patterns with heavy use of color,Line,6,13,2,1631,0,1.3166,0.125,0.9109,0.6143,13368,4,6
t1__gpt_5_4,single_edit,gpt-5.4,Intricate asymmetric patterns with heavy use of color,Line,7,13,2,1578,0,0.9903,0.0639,0.9581,0.7699,16870,5,7
t1__gpt_5_4,single_edit,gpt-5.4,Intricate asymmetric patterns with heavy use of color,Line,8,13,1,1841,0,1.3278,0.0969,0.9208,0.6622,15768,7,7
t1__gpt_5_4,single_edit,gpt-5.4,Intricate asymmetric patterns with heavy use of color,Line,9,12,1,1792,0,0.987,0.0492,0.9674,0.7707,16775,4,6
