condition_id,type,model,taste,seed_label,attempt_index,distinct_commands,nesting_depth,code_length,parsimony_score,spatial_entropy,fill_ratio,symmetry_score,bounding_box_coverage,latency_ms,xm_claude_sonnet_4_6_aesthetic,xm_claude_sonnet_4_6_novelty
t1__claude_sonnet_4_6,from_scratch,claude-sonnet-4-6,Intricate asymmetric patterns with heavy use of color,,0,15,1,3530,0,0.2572,0.0092,0.9948,0,30078,1,1
t1__claude_sonnet_4_6,from_scratch,claude-sonnet-4-6,Intricate asymmetric patterns with heavy use of color,,1,16,1,2963,0,1.3112,0.1046,0.927,0.4811,28096,6,7
t1__claude_sonnet_4_6,from_scratch,claude-sonnet-4-6,Intricate asymmetric patterns with heavy use of color,,2,17,2,3624,0,0.1106,0.0007,0.9996,0.6685,35895,1,1
t1__claude_sonnet_4_6,from_scratch,claude-sonnet-4-6,Intricate asymmetric patterns with heavy use of color,,3,14,2,3798,0,2.146,0.2589,0.9023,0.6916,36749,6,7
t1__claude_sonnet_4_6,from_scratch,claude-sonnet-4-6,Intricate asymmetric patterns with heavy use of color,,4,17,1,3398,0,1.3857,0.1165,0.9116,0.5448,29701,6,7
t1__claude_sonnet_4_6,from_scratch,claude-sonnet-4-6,Intricate asymmetric patterns with heavy use of color,,5,15,2,4146,0,1.2029,0.0681,0.9444,0.7744,33008,6,7
t1__claude_sonnet_4_6,from_scratch,claude-sonnet-4-6,Intricate asymmetric patterns with heavy use of color,,6,13,2,3083,0,0.5313,0.0588,0.9617,0.4397,27046,5,7
t1__claude_sonnet_4_6,from_scratch,claude-sonnet-4-6,Intricate asymmetric patterns with heavy use of color,,7,17,1,3544,0,0.1106,0.0009,0.9996,0.6998,33149,1,1
t1__claude_sonnet_4_6,from_scratch,claude-sonnet-4-6,Intricate asymmetric patterns with heavy use of color,,8,15,1,4168,0,1.8711,0.1815,0.9264,0.7685,41997,7,8
t1__claude_sonnet_4_6,from_scratch,claude-sonnet-4-6,Intricate asymmetric patterns with heavy use of color,,9,15,2,4168,0,1.6703,0.1704,0.9013,0.7145,34673,6,7
t1__claude_sonnet_4_6,single_edit,claude-sonnet-4-6,Intricate asymmetric patterns with heavy use of color,Line,0,12,1,2676,0,0.7902,0.0683,0.9475,0.6333,34812,6,7
t1__claude_sonnet_4_6,single_edit,claude-sonnet-4-6,Intricate asymmetric patterns with heavy use of color,Line,1,16,1,2357,0,2.4488,0.277,0.7776,0.7552,22335,7,8
t1__claude_sonnet_4_6,single_edit,claude-sonnet-4-6,Intricate asymmetric patterns with heavy use of color,Line,2,14,1,3082,0,0.2572,0.0092,0.9948,0,28089,1,1
t1__claude_sonnet_4_6,single_edit,claude-sonnet-4-6,Intricate asymmetric patterns with heavy use of color,Line,3,13,1,2448,0,0.0737,0.0002,0.9999,0.1387,21643,1,1
t1__claude_sonnet_4_6,single_edit,claude-sonnet-4-6,Intricate asymmetric patterns with heavy use of color,Line,4,14,2,2460,0,0.4734,0.0384,0.9824,0.2544,22112,4,6
t1__claude_sonnet_4_6,single_edit,claude-sonnet-4-6,Intricate asymmetric patterns with heavy use of color,Line,5,14,2,2274,0,1.2209,0.0731,0.9591,0.6553,20492,6,7
t1__claude_sonnet_4_6,single_edit,claude-sonnet-4-6,Intricate asymmetric patterns with heavy use of color,Line,6,15,1,2488,0,0.8912,0.1009,0.9678,0.7154,23083,6,7
t1__claude_sonnet_4_6,single_edit,claude-sonnet-4-6,Intricate asymmetric patterns with heavy use of color,Line,7,18,2,1816,0,1.5359,0.0354,0.9755,0.7741,18211,7,6
t1__claude_sonnet_4_6,single_edit,claude-sonnet-4-6,Intricate asymmetric patterns with heavy use of color,Line,8,16,1,1577,0,1.2363,0.2452,0.9587,0.6319,16301,5,6
t1__claude_sonnet_4_6,single_edit,claude-sonnet-4-6,Intricate asymmetric patterns with heavy use of color,Line,9,14,1,1911,0,0.7202,0.0054,0.9965,0.6465,17660,3,2
