condition_id,repeat_index,iteration,winner_score,winner_aesthetic,winner_novelty,distinct_commands,nesting_depth,color_changes,code_length,spatial_entropy,fill_ratio,symmetry_score,num_variants_generated,num_variants_valid,model_used,modifier_latency_ms,critic_latency_ms
s1__t1__gpt_5_4_mini__m5v2db,0,1,8,8,0,2,0,0,25,2.224,0.2273,0.994,3,3,gpt-5.4-mini,1266,2095
s1__t1__gpt_5_4_mini__m5v2db,0,2,11.5,8,7,3,0,0,56,2.1982,0.2433,0.7759,3,3,gpt-5.4-mini,1037,2148
s1__t1__gpt_5_4_mini__m5v2db,0,3,13,9,8,3,0,0,62,1.9059,0.16,0.8324,3,3,gpt-5.4-mini,982,2241
s1__t1__gpt_5_4_mini__m5v2db,0,4,10.5,9,3,3,0,0,62,1.9368,0.1196,0.8638,3,3,gpt-5.4-mini,1009,2224
s1__t1__gpt_5_4_mini__m5v2db,0,5,10,8,4,3,0,0,62,1.8981,0.12,0.8639,3,3,gpt-5.4-mini,1058,2480
s1__t1__gpt_5_4_mini__m5v2db,0,6,12,8,8,3,0,0,62,1.9511,0.2005,0.8442,3,3,gpt-5.4-mini,911,2577
s1__t1__gpt_5_4_mini__m5v2db,0,7,12.5,9,7,3,0,0,62,1.9976,0.2125,0.8806,3,3,gpt-5.4-mini,1227,2409
s1__t1__gpt_5_4_mini__m5v2db,0,8,10,7,6,3,0,0,62,1.962,0.1812,0.821,3,3,gpt-5.4-mini,851,2423
s1__t1__gpt_5_4_mini__m5v2db,0,9,10.5,8,5,3,0,0,62,1.8404,0.1692,0.8304,3,3,gpt-5.4-mini,868,2751
s1__t1__gpt_5_4_mini__m5v2db,0,10,9.5,7,5,4,0,0,80,1.775,0.1535,0.8255,3,3,gpt-5.4-mini,1161,2338
s1__t1__gpt_5_4_mini__m5v2db,0,11,10,8,4,4,0,0,80,1.8072,0.1651,0.8216,3,3,gpt-5.4-mini,1979,1916
s1__t1__gpt_5_4_mini__m5v2db,0,12,8.5,7,3,4,0,0,80,1.8253,0.1505,0.819,3,3,gpt-5.4-mini,1111,2495
s1__t1__gpt_5_4_mini__m5v2db,0,13,10.5,9,3,4,0,0,80,1.8802,0.1653,0.8057,3,3,gpt-5.4-mini,1122,2212
s1__t1__gpt_5_4_mini__m5v2db,0,14,11.5,8,7,4,0,0,80,2.0214,0.2125,0.7869,3,3,gpt-5.4-mini,1088,2461
