condition_id,repeat_index,iteration,winner_score,winner_aesthetic,winner_novelty,winner_parsimony,score_drop_warning,distinct_commands,nesting_depth,color_changes,code_length,spatial_entropy,fill_ratio,symmetry_score,num_variants_generated,num_variants_valid,model_used,modifier_latency_ms,critic_latency_ms
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,0,1,19.5,6,9,9,0,5,1,2,62,2.1188,0.4046,0.9878,3,3,gemini-2.5-flash-preview-09-2025,25007,4526
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,0,2,19.4,8,7,8.8,0,6,2,2,160,0,0,1,3,3,gemini-2.5-flash-preview-09-2025,19798,2834
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,0,3,18.9,8,7,7.8,0,8,3,2,273,0,0,1,2,2,gemini-2.5-flash-preview-09-2025,22341,1877
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,0,4,17.6,8,6,7.2,0,8,3,3,317,0,0,1,2,2,gemini-2.5-flash-preview-09-2025,25344,2620
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,0,5,10.6,7,0,7.2,1,8,3,3,317,0,0,1,2,2,gemini-2.5-flash-preview-09-2025,47248,2201
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,0,6,18.2,8,7,6.4,0,9,3,4,367,0,0,1,2,2,gemini-2.5-flash-preview-09-2025,23764,2274
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,0,7,18.2,8,7,6.4,0,9,3,4,380,0.7607,0.0011,0.9993,3,3,gemini-2.5-flash-preview-09-2025,42221,3963
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,0,8,16.3,6,7,6.6,0,9,3,4,381,1.7803,0.1267,0.9964,3,3,gemini-2.5-flash-preview-09-2025,11412,3231
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,0,9,18.3,8,7,6.6,0,9,3,4,386,1.7185,0.1431,0.9922,3,3,gemini-2.5-flash-preview-09-2025,22206,3464
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,0,10,17.8,8,7,5.6,0,11,3,4,439,1.4752,0.0929,0.9321,3,3,gemini-2.5-flash-preview-09-2025,8361,17604
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,0,11,8.8,6,0,5.6,1,11,3,4,439,1.4752,0.0929,0.9321,2,2,gemini-2.5-flash-preview-09-2025,103279,3170
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,0,12,16.8,8,7,3.5999999999999996,0,12,4,4,559,2.3951,0.3459,0.9219,2,2,gemini-2.5-flash-preview-09-2025,26000,3061
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,0,13,17.8,8,8,3.5999999999999996,0,12,4,4,496,2.5688,0.4253,0.9807,3,3,gemini-2.5-flash-preview-09-2025,12115,4405
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,0,14,15.7,8,6,3.4000000000000004,0,12,2,4,489,1.8573,0.4646,0.9652,3,3,gemini-2.5-flash-preview-09-2025,11320,4706
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,0,15,7.7,6,0,3.4000000000000004,1,12,2,4,489,1.8573,0.4646,0.9652,2,2,gemini-2.5-flash-preview-09-2025,47137,3104
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,1,1,21.3,8,9,8.6,0,5,1,2,126,2.5318,0.3487,0.9003,3,3,gemini-2.5-flash-preview-09-2025,25774,3407
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,1,2,18.7,8,7,7.4,0,10,2,2,210,2.5961,0.4037,0.8814,3,3,gemini-2.5-flash-preview-09-2025,19219,3389
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,1,3,18.6,8,7,7.2,0,10,2,2,222,2.5657,0.3977,0.8525,3,3,gemini-2.5-flash-preview-09-2025,16125,4256
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,1,4,15.6,4,8,7.2,0,10,2,2,227,1.6412,0.1029,0.9223,3,3,gemini-2.5-flash-preview-09-2025,11602,3436
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,1,5,18.6,8,7,7.2,0,10,2,2,242,2.6043,0.5447,0.8194,3,3,gemini-2.5-flash-preview-09-2025,17355,4765
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,1,6,15.5,7,5,7,0,10,2,2,268,2.6192,0.4809,0.8024,3,3,gemini-2.5-flash-preview-09-2025,22976,3240
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,1,7,18.4,8,7,6.8,0,11,2,2,301,2.5366,0.3937,0.8316,3,3,gemini-2.5-flash-preview-09-2025,15800,3129
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,1,8,18.4,8,7,6.8,0,11,2,2,322,2.2988,0.3385,0.8432,2,2,gemini-2.5-flash-preview-09-2025,24242,3134
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,1,9,15.4,5,7,6.8,0,11,2,2,323,2.5286,0.4731,0.8436,3,3,gemini-2.5-flash-preview-09-2025,7818,9080
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,1,10,17.4,8,6,6.8,0,11,2,2,330,2.4245,0.455,0.822,3,3,gemini-2.5-flash-preview-09-2025,10892,3966
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,1,11,8.4,5,0,6.8,1,11,2,2,330,2.4245,0.455,0.822,2,2,gemini-2.5-flash-preview-09-2025,46810,2666
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,1,12,16.5,5,8,7,0,11,2,2,241,2.2514,0.4724,0.9607,3,3,gemini-2.5-flash-preview-09-2025,20034,3063
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,1,13,17.5,8,6,7,0,11,4,2,304,2.2153,0.457,0.9606,3,3,gemini-2.5-flash-preview-09-2025,13271,6326
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,1,14,18.5,8,7,7,0,11,2,2,297,2.2016,0.4464,0.913,3,3,gemini-2.5-flash-preview-09-2025,9743,4059
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,1,15,15.2,8,4,6.4,0,12,3,2,360,2.1066,0.4211,0.9227,3,3,gemini-2.5-flash-preview-09-2025,16815,3614
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2db,2,1,19.1,6,9,8.2,0,5,2,2,106,1.7952,0.0497,1,3,3,gemini-2.5-flash-preview-09-2025,8875,3262
